ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,DT,GR,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT,BVW,COAL_FLAG,KLOGH,PHIF,SAND_FLAG,SW,VCARB,VSH
2.2604,2.27,2.2424,2.2718,8.5,8.6016,0.0428,109.905,220.8354,0.4556,6.5652,2.7041,2.691,2.5941,2.2538,2.6388,19.7516,2.6388,2.5941,2.6388,,0.0,,,,,,0.8759
2.261,2.2738,2.2425,2.2672,8.5,8.625,0.0432,109.1988,219.3117,0.4461,6.4661,2.6991,2.7024,2.5845,2.2548,2.6291,19.7078,2.6291,2.5845,2.6291,,0.0,,,,,,0.8694
2.2564,2.2736,2.2486,2.2626,8.5,8.625,0.0436,109.226,221.6879,0.4347,6.3737,2.7243,2.7037,2.51,2.2569,2.4872,19.7411,2.4871,2.51,2.4871,,0.0,,,,,,0.8795
2.2517,2.2728,2.2568,2.2613,8.5,8.625,0.0442,109.4581,219.1483,0.4212,6.3378,2.7717,2.7436,2.4396,2.2597,2.3489,19.7744,2.3489,2.4396,2.3489,,0.0,,,,,,0.8687
2.2523,2.2727,2.2625,2.2627,8.5,8.6016,0.0445,109.762,217.443,0.4097,6.3697,2.7869,2.753,2.4491,2.2621,2.3262,19.8076,2.3262,2.4491,2.3262,,0.0,,,,,,0.8615
2.2572,2.2727,2.2654,2.2644,8.5,8.5781,0.0435,109.6928,215.8927,0.4003,6.467,2.7574,2.757,2.5095,2.2633,2.4574,19.8015,2.4574,2.5095,2.4574,,0.0,,,,,,0.8549
2.261,2.2706,2.2666,2.2653,8.5,8.5781,0.0404,109.6523,216.8615,0.3974,6.5985,2.7234,2.7798,2.5815,2.2633,2.6033,19.7953,2.6033,2.5815,2.6033,,0.0,,,,,,0.859
2.2603,2.2674,2.2689,2.2683,8.5,8.6016,0.0367,110.0938,221.0881,0.4015,6.7038,2.7552,2.7785,2.6003,2.264,2.589,19.7892,2.589,2.6003,2.589,,0.0,,,,,,0.8769
2.2577,2.2663,2.2722,2.2755,8.5,8.5781,0.0347,110.9282,224.7188,0.4104,6.7166,2.836,2.8508,2.5388,2.2669,2.4562,19.8017,2.4562,2.5388,2.4562,,0.0,,,,,,0.8924
2.2594,2.2698,2.2748,2.2841,8.5,8.5781,0.0356,111.9778,229.4436,0.4197,6.624,2.8708,2.8651,2.5398,2.2714,2.4225,19.8142,2.4225,2.5398,2.4225,,0.0,,,,,,0.9125
2.2675,2.2758,2.2753,2.2876,8.5,8.625,0.038,113.2646,233.5799,0.4234,6.4765,2.8345,2.8891,2.6254,2.2747,2.5576,19.8267,2.5576,2.6254,2.5576,,0.0,,,,,,0.9301
2.2764,2.2784,2.2729,2.2815,8.5,8.625,0.0392,114.0988,234.4017,0.4242,6.3601,2.7651,2.8737,2.6541,2.2734,2.6524,19.8205,2.6524,2.6541,2.6524,,0.0,,,,,,0.9336
2.2778,2.2762,2.2678,2.2711,8.5,8.625,0.0382,114.6389,232.788,0.4227,6.3241,2.8585,2.8983,2.5554,2.2681,2.3845,19.8144,2.3845,2.5554,2.3845,,0.0,,,,,,0.9268
2.2701,2.2718,2.2619,2.2651,8.5,8.625,0.0365,114.7858,230.953,0.4226,6.3551,2.9538,2.9375,2.454,2.2629,2.1992,19.8082,2.1992,2.454,2.1992,,0.0,,,,,,0.919
2.2623,2.2674,2.2564,2.2672,8.5,8.625,0.036,114.7911,229.3815,0.4268,6.4114,2.9787,2.941,2.4805,2.2603,2.2471,19.8039,2.2471,2.4805,2.2471,,0.0,,,,,,0.9123
2.2624,2.2637,2.2521,2.2714,8.5,8.5781,0.0361,114.6966,227.7339,0.436,6.4763,2.9848,2.9788,2.5682,2.2597,2.3622,19.7996,2.3622,2.5682,2.3622,,0.0,,,,,,0.9052
2.2687,2.2605,2.2497,2.2697,8.5,8.5781,0.0348,114.496,234.1474,0.4384,6.5857,2.9614,2.9735,2.7582,2.2591,2.6765,19.7953,2.6765,2.7582,2.6765,,0.0,,,,,,0.9325
2.273,2.259,2.2515,2.2625,8.5,8.6016,0.0321,114.2443,238.2045,0.4407,6.7452,2.9682,3.017,2.9184,2.2586,2.9878,19.7894,2.9879,2.9184,2.9879,,0.0,,,,,,0.9498
2.272,2.2599,2.2599,2.2575,8.5,8.625,0.0311,113.9408,241.5378,0.4341,6.9026,3.0496,3.0292,2.9759,2.261,3.0708,19.7834,3.0708,2.9758,3.0708,,0.0,,,,,,0.964
2.2707,2.2622,2.2719,2.2612,8.5,8.625,0.0347,113.3564,243.6638,0.4282,6.9623,3.1557,3.0463,2.9476,2.2666,2.953,19.7774,2.953,2.9476,2.953,,0.0,,,,,,0.9731
2.2755,2.2636,2.2788,2.2708,8.5,8.625,0.0428,112.8047,241.2916,0.422,6.8643,3.2253,3.0959,2.9142,2.2716,2.8775,19.7897,2.8775,2.9143,2.8775,,0.0,,,,,,0.963
2.2827,2.2622,2.2727,2.276,8.5,8.625,0.0503,112.2808,239.1587,0.4167,6.6621,3.2789,3.0959,2.942,2.2694,2.8958,19.8021,2.8958,2.942,2.8958,,0.0,,,,,,0.9539
2.2836,2.2559,2.2541,2.2693,8.5,8.625,0.0519,111.9393,238.7543,0.4136,6.4762,3.2829,3.1312,3.0178,2.2578,3.0282,19.8143,3.0282,3.0178,3.0282,,0.0,,,,,,0.9522
2.273,2.2432,2.2322,2.2534,8.5,8.6016,0.0469,111.8373,237.5667,0.419,6.3837,3.2009,3.0796,3.1118,2.2412,3.2499,19.7703,3.2499,3.1118,3.2499,,0.0,,,,,,0.9472
2.2539,2.2291,2.2178,2.2378,8.5,8.6016,0.0382,112.0083,224.0192,0.4294,6.3728,3.1885,3.0952,3.0951,2.2272,3.2511,19.7264,3.2511,3.0951,3.2511,,0.0,,,,,,0.8895
2.2367,2.225,2.2139,2.2303,8.5,8.6016,0.0304,113.0269,216.1341,0.4406,6.3833,3.1872,3.0775,3.0743,2.2215,3.2144,19.6827,3.2144,3.0743,3.2144,,0.0,,,,,,0.8559
2.2271,2.2368,2.2167,2.2302,8.5,8.625,0.0266,113.9313,210.5548,0.4494,6.3615,3.1611,3.0799,3.064,2.2244,3.1997,19.7171,3.1997,3.064,3.1997,,0.0,,,,,,0.8322
2.2232,2.2564,2.223,2.2341,8.5,8.625,0.0271,114.6124,208.36,0.4503,6.291,3.1258,3.078,3.0485,2.231,3.1694,19.7515,3.1694,3.0485,3.1694,,0.0,,,,,,0.8228
2.219,2.2696,2.2315,2.2397,8.5,8.625,0.0308,114.4432,210.7779,0.4455,6.1771,3.1893,3.0932,2.9336,2.2367,2.9076,19.7858,2.9075,2.9336,2.9075,,0.0,,,,,,0.8331
2.2141,2.2665,2.2389,2.2436,8.5,8.625,0.0355,113.89,207.3991,0.4394,6.0574,3.2779,3.1654,2.8049,2.2381,2.6547,19.7844,2.6547,2.8049,2.6547,,0.0,,,,,,0.8188
2.2175,2.2529,2.2379,2.242,8.5,8.625,0.0393,112.8562,202.3352,0.4344,5.9827,3.1974,3.1177,2.8575,2.2348,2.7367,19.783,2.7367,2.8575,2.7367,,0.0,,,,,,0.7972
2.2316,2.2378,2.2278,2.2347,8.5,8.6016,0.0412,111.6396,199.001,0.4326,5.9876,3.0998,3.1051,2.9133,2.2283,2.8968,19.7817,2.8968,2.9133,2.8968,,0.0,,,,,,0.783
2.2465,2.2254,2.2134,2.2257,8.5,8.6016,0.0411,110.8902,196.2606,0.4262,6.0698,3.0594,3.0706,2.9275,2.2208,2.952,19.7991,2.952,2.9275,2.952,,0.0,,,,,,0.7713
2.2503,2.2153,2.2023,2.2212,8.5,8.5781,0.0394,111.1706,196.6182,0.4248,6.1921,3.0832,3.1002,2.9097,2.2143,2.9429,19.8166,2.9429,2.9097,2.9429,,0.0,,,,,,0.7728
2.2448,2.2076,2.1984,2.2233,8.5,8.6016,0.0374,111.4806,197.8921,0.4211,6.2952,3.0327,3.0859,3.0134,2.2108,3.1525,19.8341,3.1525,3.0134,3.1525,,0.0,,,,,,0.7783
2.2444,2.203,2.1979,2.2284,8.5,8.625,0.0363,111.716,198.4695,0.4217,6.3354,3.0858,3.1176,2.8978,2.2108,2.9228,19.8329,2.9228,2.8978,2.9228,,0.0,,,,,,0.7807
2.2539,2.2016,2.1979,2.2299,8.5,8.625,0.036,111.7387,199.4558,0.4216,6.3131,3.1427,3.1513,2.7467,2.2125,2.6252,19.8316,2.6252,2.7467,2.6252,,0.0,,,,,,0.7849
2.2622,2.2044,2.2012,2.2265,8.5,8.625,0.0359,111.3974,200.7543,0.418,6.2926,3.1684,3.1412,2.6975,2.215,2.4777,19.8303,2.4777,2.6975,2.4777,,0.0,,,,,,0.7904
2.2571,2.2123,2.2119,2.2216,8.5,8.625,0.0351,110.9925,200.9689,0.4136,6.3414,3.1398,3.1516,2.7761,2.2185,2.6137,19.8273,2.6137,2.7761,2.6137,,0.0,,,,,,0.7914
2.2399,2.2233,2.2303,2.2205,8.5,8.625,0.0336,110.7726,200.2794,0.4131,6.488,3.0452,3.1211,2.9062,2.2243,2.9068,19.8242,2.9068,2.9062,2.9068,,0.0,,,,,,0.7884
2.2232,2.2333,2.2499,2.2282,8.5,8.625,0.032,110.9958,206.6173,0.4177,6.6908,3.1124,3.1719,2.9124,2.233,2.8319,19.8211,2.8319,2.9124,2.8319,,0.0,,,,,,0.8153
2.2168,2.2424,2.2632,2.2437,8.5,8.5781,0.031,111.5127,219.7651,0.4255,6.8507,3.1861,3.198,2.8767,2.2431,2.7539,19.815,2.7539,2.8767,2.7539,,0.0,,,,,,0.8713
2.2228,2.2538,2.266,2.2611,8.5,8.625,0.031,112.5174,229.284,0.4236,6.8987,3.2184,3.2346,2.8908,2.2523,2.7592,19.8088,2.7592,2.8908,2.7592,,0.0,,,,,,0.9118
2.2375,2.2695,2.2597,2.2737,8.5,8.625,0.032,112.9575,233.7235,0.4176,6.8124,3.2329,3.2186,2.9315,2.2587,2.8157,19.8027,2.8157,2.9315,2.8157,,0.0,,,,,,0.9307
2.2542,2.287,2.2495,2.2758,8.5,8.625,0.0337,112.9965,232.2308,0.4098,6.6233,3.2653,3.255,2.9642,2.2611,2.8734,19.8152,2.8734,2.9642,2.8734,,0.0,,,,,,0.9244
2.2671,2.3008,2.2414,2.2682,8.5,8.625,0.0361,112.3435,228.8509,0.4053,6.4056,3.2305,3.2515,3.0055,2.2599,2.9692,19.8277,2.9692,3.0055,2.9692,,0.0,,,,,,0.9101
2.2744,2.3069,2.2382,2.254,8.5,8.625,0.0387,111.6615,221.2496,0.406,6.2362,3.2095,3.2247,3.0154,2.2564,2.9917,19.8402,2.9917,3.0154,2.9917,,0.0,,,,,,0.8777
2.2771,2.3036,2.2382,2.238,8.5,8.625,0.041,110.9741,210.985,0.4101,6.1574,3.2454,3.2396,2.9925,2.2516,2.9473,19.8341,2.9473,2.9925,2.9473,,0.0,,,,,,0.8341
2.2734,2.2913,2.2363,2.226,8.5,8.625,0.0425,110.4274,199.4569,0.4147,6.1439,3.3139,3.246,2.9516,2.245,2.8663,19.8279,2.8663,2.9516,2.8663,,0.0,,,,,,0.785
2.2617,2.2724,2.229,2.2219,8.5,8.625,0.0429,110.113,191.1153,0.4153,6.1346,3.4221,3.3078,2.9433,2.2364,2.7964,19.8218,2.7965,2.9433,2.7965,,0.0,,,,,,0.7495
2.2478,2.2531,2.2182,2.2241,8.5,8.625,0.043,109.9912,186.0906,0.411,6.101,3.3381,3.2755,3.1213,2.2273,3.1068,19.8174,3.1068,3.1213,3.1068,,0.0,,,,,,0.728
2.2388,2.2352,2.2096,2.2263,8.5,8.625,0.0427,110.1546,185.6687,0.4082,6.054,3.2862,3.3044,3.2523,2.2195,3.4329,19.8131,3.4329,3.2523,3.4329,,0.0,,,,,,0.7263
2.2351,2.2187,2.207,2.2252,8.5,8.625,0.0413,110.4535,185.3655,0.4122,6.0218,3.3186,3.3123,3.2521,2.214,3.3661,19.8088,3.3661,3.2521,3.3661,,0.0,,,,,,0.7249
2.232,2.206,2.2113,2.2226,8.5,8.625,0.0385,110.8843,189.637,0.4202,6.0213,3.3569,3.3539,3.1415,2.2117,3.1274,19.8027,3.1274,3.1415,3.1274,,0.0,,,,,,0.7431
